feature,importance
lag_1,0.4976355
rolling_max_7,0.2942793
lag_7,0.060413428
rolling_min_7,0.0346617
lag_21,0.022919817
daily_change,0.022515917
daily_pct_change,0.01933332
month,0.010058913
expanding_mean,0.007706118
day_of_week,0.00613287
is_month_start,0.0047272085
rolling_max_14,0.0044470374
lag_2,0.003302767
lag_14,0.0024487737
rolling_mean_14,0.0023624056
is_weekend,0.0017720034
week_of_year,0.00097298756
rolling_std_30,0.00062804896
year,0.00052928855
lag_3,0.0004971697
rolling_mean_7,0.0004571081
rolling_min_14,0.0003868541
lag_30,0.00035547823
rolling_mean_30,0.00030116682
rolling_max_30,0.00024954588
rolling_std_7,0.00024134287
rolling_std_14,0.00018801785
lag_5,0.00018576198
rolling_min_30,0.00018179651
quarter,4.8227303e-05
is_month_end,3.6054545e-05
is_quarter_end,1.697957e-05
is_quarter_start,7.06e-06
